Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,Status,Max_kW_Rating,Total_kW_Capacity,index_right,SA4_CODE26,SA4_NAME26,CHG_FLAG26,CHG_LBL26,GCC_CODE26,GCC_NAME26,STE_CODE26,STE_NAME26,AUS_CODE26,AUS_NAME26,AREASQKM26,ocm_poi_id,plug_types,num_bays,operator_ocm,pricing_ocm,match_distance_km,name_similarity,address_similarity,match_score,match_confidence
Unknown,"Hope St, Blaxland NSW 2774, Australia",Tesla,6,DC,175 kW,-33.7452292,150.6101288,Blue Mountains City Council,2774,Fast Charging R1,Operational,175.0,175.0,23.0,124,Sydney - Outer West and Blue Mountains,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,3968.1295,266538.0,CCS (Type 2),6.0,Tesla (Tesla-only charging),Supercharger rates,0.0122,,,,coordinate_distance
Unknown,"Jessie St, Armidale NSW 2350, Australia",Tesla,4,DC,175 kW,-30.5132305,151.6633637,Armidale Regional Council,2350,Fast Charging R1,Operational,175.0,175.0,9.0,110,New England and North West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,99139.9014,460615.0,CCS (Type 2),4.0,Tesla (including non-tesla),,0.0397,,,,coordinate_distance
Unknown,"Queens Rd
Five Dock NSW 2046
Australia",Evie Networks,4,DC,75 kW,-33.8696308,151.1223747,City Of Canada Bay Council,2046,Kerbside Charging R1,Operational,75.0,75.0,19.0,120,Sydney - Inner West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,64.5756,272684.0,"CCS (Type 2), CHAdeMO",2.0,Evie,,0.6553,,,,coordinate_distance
Unknown,"1 Kendall Ave, Bathurst , 2795",Tesla,12,DC,130 kW,-33.41901006,149.5867568,Bathurst Regional Council,2795,Existing Fast Chargers,Operational,130.0,130.0,2.0,103,Central West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70297.0605,121552.0,CCS (Type 2),6.0,Tesla (including non-tesla),AUD 0.66/kWh;other tariffs for older cars,0.0155,,,,coordinate_distance
Unknown,"1 Kendall Ave, Bathurst, 2795",NRMA,2,DC,50 kW,-33.41910215,149.5867528,Bathurst Regional Council,2795,Existing Fast Chargers,Operational,50.0,50.0,2.0,103,Central West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70297.0605,121552.0,CCS (Type 2),6.0,Tesla (including non-tesla),AUD 0.66/kWh;other tariffs for older cars,0.0105,,,,coordinate_distance
Unknown,"1 Tasman Rd, Gumly Gumly NSW 2652, Australia",BP,6,DC,175 kW,-35.1262128,147.4209242,Wagga Wagga City Council,2652,Fast Charging R1,Operational,175.0,175.0,12.0,113,Riverina,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,56984.9808,,,,,,,,,,no_match
Unknown,"1/118 Bourke Rd, Alexandria NSW 2015",Tesla,6,DC,175 kW,-33.9132474,151.1935823,"Sydney, Council of the City of",2015,Fast Charging R1,Operational,175.0,175.0,16.0,117,Sydney - City and Inner South,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,66.117,,,,,,,,,,no_match
Unknown,"105-107 Alt St
Ashfield NSW 2131
Australia",EVX,2,DC,25 kW,-33.8803158,151.1299199,Inner West Council,2131,Kerbside Charging R1,Operational,25.0,25.0,19.0,120,Sydney - Inner West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,64.5756,272684.0,"CCS (Type 2), CHAdeMO",2.0,Evie,,0.7356,,,,coordinate_distance
Unknown,"106 Parraween St
Cremorne NSW 2090
Australia",Evie Networks,4,DC,75 kW,-33.8272794,151.2301624,North Sydney Council,2090,Kerbside Charging R1,Operational,75.0,75.0,20.0,121,Sydney - North Sydney and Hornsby,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,275.0992,,,,,,,,,,no_match
Unknown,117 Tibbereena St Narrabri NSW 2390 Australia,Tesla,4,DC,175 kW,-30.3226373,149.7801888,Narrabri Shire Council,2390,Fast Charging R1,Operational,175.0,175.0,9.0,110,New England and North West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,99139.9014,,,,,,,,,,no_match
Unknown,"1215 Anzac Pde, Matraville, NSW, 2036",Evie Networks,4,DC,75 kW,-33.9626402,151.245869,Randwick City Council,2036,Kerbside Charging R1,Operational,75.0,75.0,17.0,118,Sydney - Eastern Suburbs,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,57.7341,,,,,,,,,,no_match
Unknown,"1233 Victoria Rd, West Ryde NSW 2114, Australia",BP,4,DC,175 kW,-33.8067305,151.0708812,"Ryde, Council of the City of",2114,Fast Charging R1,Operational,175.0,175.0,25.0,126,Sydney - Ryde,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,69.3368,,,,,,,,,,no_match
Unknown,"1234 Princes Hwy, Engadine NSW 2233, Australia",BP,4,DC,175 kW,-34.0774032,151.0112053,Sutherland Shire Council,2233,Fast Charging R1,Operational,175.0,175.0,27.0,128,Sydney - Sutherland,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,295.8523,,,,,,,,,,no_match
Unknown,"13 Southey St, Jerilderie NSW 2716, Australia",BP,6,DC,175 kW,-35.3608978,145.7194667,Murrumbidgee Council,2716,Fast Charging R1,Operational,175.0,175.0,8.0,109,Murray,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,97796.4912,190915.0,"CCS (Type 2), CHAdeMO",1.0,NRMA,FREE,0.8713,,,,coordinate_distance
Unknown,"144 Bayshore Dr, Byron Bay, 2481",Chargefox,2,DC,50 kW,-28.62590795,153.586978,Byron Shire Council,2481,Existing Fast Chargers,Operational,50.0,50.0,11.0,112,Richmond - Tweed,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,10271.3204,148118.0,Type 2 (Socket Only),2.0,Chargefox,Free,0.762,,,,coordinate_distance
Unknown,"154 Beach Rd, Batemans Bay NSW 2536",Tesla,6,DC,175 kW,-35.7196933,150.1897432,Eurobodalla Shire Council,2536,Fast Charging R1,Operational,175.0,175.0,0.0,101,Capital Region,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,51896.2445,,,,,,,,,,no_match
Unknown,"162 Rouse St, Tenterfield NSW 2372, Australia",Tesla,4,DC,175 kW,-29.0565237,152.0181884,Tenterfield Shire Council,2372,Fast Charging R1,Operational,175.0,175.0,9.0,110,New England and North West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,99139.9014,312274.0,CCS (Type 2),3.0,Tesla (including non-tesla),$0.69/kWh,0.0787,,,,coordinate_distance
